Value,RefDes,Pattern,LCSC Part #,DNP
10nF 50V,C1,CAP_0603_L,C57112,
100nF 50V,C2,CAP_0603_L,C14663,
10uF 50V,C3,CAP_1206_L,C13585,
10uF 50V,C4,CAP_1206_L,C13585,
10uF 50V,C5,CAP_1206_L,C13585,
330nF 25V,C6,CAP_0603_L,C1615,
100nF 50V,C7,CAP_0603_L,C14663,
10nF 50V,C8,CAP_0603_L,C57112,
47pF 50V,C9,RES_0603_L,C1671,
47pF 50V,C10,RES_0603_L,C1671,
4700pF 50V,C11,CAP_0603_L,C53987,
15pF 50V,C12,CAP_0402_L,C1547,
15pF 50V,C13,CAP_0402_L,C1547,
RED,D1,LED-0603,C2286,
GREEN,D2,LED-0603,C72043,
BLUE,D3,LED-0603,C72041,
,D4,SOT23V2,C233494,
,J1,DS1037-09MNAKT74-0CC,C75750,
,J2,HDR-1x9T/2.54/23x2,,
,J3,HDR-1x9T/2.54/23x2,,
,J4,SMT-JUMPER_2_NC_TRACE_SILK,,
,J5,SMT-JUMPER_2_NC_TRACE_SILK,,
,J6,SMT-JUMPER_3_1-NC_TRACE_SILK,,
,J7,SMT-JUMPER_3_1-NC_TRACE_SILK,,
3k 1%,R1,RES_0603_L,C4211,
33k 1%,R2,RES_0603_L,C4216,
10k 1%,R3,RES_0805_L,C17414,
330R 1%,R4,RES_0402_L,C25104,
330R 1%,R5,RES_0402_L,C25104,
10k 1%,R7,RES_0402_L,C25744,
10k 1%,R8,RES_0402_L,C25744,
10k 1%,R9,RES_0402_L,C25744,
60R4 1/8W,R10,RES_0805_L,C72998,
60R4 1/8W,R11,RES_0805_L,C72998,
,S1,TS-1088-AR02016,C720477,
,S2,TS-1088-AR02016,C720477,
,U1,RQFN-20/3.5x4.5x0.5,,
40MHz,Y1,TXM40M0004252HBCEO00T,C284176,
