Designator,Mid X,Mid Y,Layer,Rotation
C1,-8.984,17.48,Top,270
C2,4.69,12.315,Top,180
C3,4.54,14.161,Top,180
C4,5.672,-3.149,Top,270
C5,5.3,3.425,Top,90
C6,3.4,4.001,Top,90
C7,3.558,-3.172,Top,270
C8,-0.265,16.983,Top,270
C9,2.5,-14.326,Top,180
C10,-2.5,-14.376,Top,0
C11,0,-12.026,Top,270
C12,1.15,9.935,Top,180
C13,-1.3,10.885,Top,0
D1,-6.956,23.407,Top,0
D2,0.009,23.407,Top,0
D3,6.973,23.407,Top,0
D4,0,-17.076,Top,90
J1,0,-23.5,Top,0
J2,-11.43,3.001,Top,270
J3,11.43,3.001,Top,90
J4,1.804,-6.226,Top,0
J5,-1.802,-6.226,Top,180
J6,-2.634,7.885,Top,0
J7,2.484,7.935,Top,180
R1,-11.071,20.198,Top,270
R2,-11.071,17.5,Top,270
R3,-3.345,23.407,Top,180
R4,3.15,23.407,Top,180
R5,10.042,23.407,Top,180
R6,-4.055,4.751,Top,270
R7,-3.15,-2.554,Top,90
R8,-4.9,-2.554,Top,90
R9,1.257,16.57,Top,90
R10,1.385,-9.006,Top,90
R11,-1.301,-9.047,Top,90
S1,-5,17.5,Top,0
S2,5.23,17.5,Top,0
U1,0,0.651,Top,0
Y1,0.225,13.16,Top,270
